year,volume,url,title,pages,keywords,journal,issn,author,abstract,ENTRYTYPE,ID,number,school,publisher,isbn,booktitle,da,oa,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,funding-text,funding-acknowledgement,orcid-numbers,researcherid-numbers,author-email,web-of-science-categories,research-areas,keywords-plus,article-number,doi,affiliation,language,type,address,month,eissn,note,series,esi-hot-paper,esi-highly-cited-paper,organization
2017,8,"ivan.barreda@eco.uji.es, ORCID: 0000-0002-1247-0582",Individual characteristics vs Experience: An experimental study on cooperation in prisoner’s dilemma,,"altruism, cognitive ability, cooperation, prisoner’s dilemma, experiment, Altruism, Cooperation, Prisoners Dilemma Game",Frontiers in Psychology,1664-1078,"Barreda-Tarrazona, Iván and  Jaramillo-Gutiérrez, Ainhoa and  Pavan, Marina and  Sabater-Grande, Gerardo","Cooperative behavior is often assumed to depend on individuals’ characteristics, such as altruism and reasoning ability. Evidence is mixed about what the precise impact of these characteristics is, as the subjects of study are generally randomly paired, generating a heterogeneous mix of the two characteristics. In this study we ex-ante create four different groups of subjects by factoring their higher or lower than the median scores in both altruism and reasoning ability. Then we use these groups in order to analyze the joint effect of the two characteristics on the individual choice of cooperating and on successful paired cooperation. Subjects belonging to each group play first 10 one-shot prisoner’s dilemma (PD) games with ten random partners and then three consecutive 10-round repeated PD games with three random partners. In all games, we elicit players’ beliefs regarding cooperation using an incentive compatible method. Individuals with high altruism are more optimistic about the cooperative behavior of the other player in the one-shot game. They also show higher individual cooperation and paired cooperation rates in the first repetitions of this game. Contrary to the one-shot PD games where high reasoning ability reduces the probability of playing cooperatively, the sign of the relationship is inverted in the first repeated PD game, showing that high reasoning ability individuals better adjust their behavior to the characteristics of the game they are playing. In this sense, the joint effect of reasoning ability and altruism is not linear, with reasoning ability counteracting the cooperative effect of altruism in the one-shot game and reinforcing it in the first repeated game. However, experience playing the repeated PD games takes over the two individual characteristics in explaining individual and paired cooperation. Thus, in a (PD) setting, altruism and reasoning ability significantly affect behavior in single encounters, while in repeated interactions individual and paired cooperation reach similarly high levels independently of these individual characteristics. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-18137-00120170420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-05719-206&site=ehost-live,More for me or more for you? The effects of power and resource asymmetry on cooperation,,"cooperation, power, Cooperation, Prisoners Dilemma Game, Interpersonal Control",,,"Stivers, Adam W.","People frequently have interactions where they are interdependent, but differ in the extent to which they have power and resources. Two forms of power are the control one has over the outcomes of others (responsibility) and the extent to which one's outcomes are controlled by others (dependence). With regard to resources, individuals may have more or less resources than others. Prior research on power shows that social dilemmas with higher dependence and higher responsibility illicit more cooperation, but does not show whether dependence or responsibility is the cause of the cooperation. In the first study, participants chose between cooperative and non-cooperative options in a series of Prisoner's Dilemma games (PDG) that varied in dependence and responsibility. It was found that more participants were cooperative in games that had a greater amount of dependence and slightly fewer participants cooperated in games that had a greater amount of responsibility. In Study 2, the games used also varied the amount of resources the participant had relative to the other decision maker. It was found that participants cooperated at the highest rate when they had a resource advantage, less when they had equal resources, and least when they had a resource disadvantage. In both studies the effects of dependence and resources were moderated by Social Value Orientation (SVO): the effects were strongest for people with a joint gain maximizing orientation (Js), weaker for those with an own gain maximizing orientation (Os), and non-significant for people with a relative gain maximizing orientation (Rs). (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2017-05719-20620170101,,ProQuest Information & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,62,"alex.peys@gmail.com, david.rand@yale.edu",Habits of virtue: Creating norms of cooperation and defection in the laboratory,631 - 647,"economics: behavior and behavioral decision making, economics: game theory and bargaining theory, organizational studies: decision making, games, group decisions, Cooperation, Experimental Laboratories, Prisoners Dilemma Game, Social Norms, Business Organizations",Management Science,"0025-1909, 1526-5501","Peysakhovich, Alexander and  Rand, David G.","What explains variability in norms of cooperation across organizations and cultures? One answer comes from the tendency of individuals to internalize typically successful behaviors as norms. Different institutional structures can cause different behavioral norms to be internalized. These norms are then carried over into atypical situations beyond the reach of the institution. Here, we experimentally demonstrate such spillovers. First, we immerse subjects in environments that do or do not support cooperation using repeated prisoner’s dilemmas. Afterwards, we measure their intrinsic prosociality in one-shot games. Subjects from environments that support cooperation are more prosocial, more likely to punish selfishness, and more trusting in general. Furthermore, these effects are most pronounced among subjects who use heuristics, suggesting that intuitive processes play a key role in the spillovers we observe. Our findings help to explain variation in one-shot anonymous cooperation, linking this intrinsically motivated prosociality to the externally imposed institutional rules experienced in other settings. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",article,2016-45652-00120160301,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,100,charness@econ.ucsb.edu,Social surplus determines cooperation rates in the one-shot Prisoner's Dilemma,113 - 124,"Prisoner’s Dilemma, cooperation rates, beliefs, experiment, Cooperation, Experimentation, Prisoners Dilemma Game, Attitudes",Games and Economic Behavior,"0899-8256, 1090-2473","Charness, Gary and  Rigotti, Luca and  Rustichini, Aldo","We provide evidence on how cooperation rates vary across payoff parameters in the Prisoner's Dilemma (PD), using four one-shot games that differ only in the payoffs from mutual cooperation. In our experiment, participants play only the PD game, and play the game once and only once, so there are no potential confounds or methodological issues. Our results show that higher monetary payoffs from cooperation are associated with substantially higher cooperation rates, which increase monotonically from 23% to 60%. Participants' beliefs about cooperation rates track closely actual cooperation rates: higher cooperation is expected from others when mutual cooperation payoffs are higher. This is true also for participants who, in a follow-up experiment, only make guesses about the choices of others. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2016-58553-00820161101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,102,"alistair@pitt.edu, hhkpuwu@polyu.edu.hk, ORCID: 0000-0001-8118-2376, ORCID: 0000-0002-5881-239X",At-will relationships: How an option to walk away affects cooperation and efficiency,487 - 507,"Outside options, Endogenous termination, Dissolution clauses, Imperfect public monitoring, Dynamic games, Cooperation, Games, Punishment",Games and Economic Behavior,"0899-8256, 1090-2473","Wilson, Alistair J. and  Wu, Hong","We theoretically and experimentally examine the effects from adding a simple, empirically relevant action to a repeated partnership, the option to walk away. Manipulating both the value of the outside option, and its relative distribution among the partners, we examine the behavior of human subjects in a repeated prisoners’ dilemma. In particular, we examine the degree of cooperation and the form of punishments used. Our findings indicate that cooperation rates are broadly unaffected by the value of the common outside option, but that the selection of supporting punishments—in-relationship defections or walking-away—are dictated by individual rationality. In contrast to the symmetric results, when outside options for partners are asymmetric we find stark selection effects over cooperation, with the potential for very high and very low efficiency, dependent on the precise division rule. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-15469-03320170301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,101,"A.G.Kopanyi-Peuker@uva.nl, T.J.S.Offerman@uva.nl, R.Sloof@uva.nl, ORCID: 0000-0002-3033-2597",Fostering cooperation through the enhancement of own vulnerability,273 - 290,"Prisoner’s dilemma, Cooperation, Endogenous punishment, Choice Behavior, Cooperation, Game Theory, Prisoners Dilemma Game, Behavioral Economics, Punishment",Games and Economic Behavior,"0899-8256, 1090-2473","Kopányi-Peuker, Anita and  Offerman, Theo and  Sloof, Randolph","We consider the possibility that cooperation in a prisoner’s dilemma is fostered by people’s voluntary enhancement of their own vulnerability. The vulnerability of a player determines the effectiveness of possible punishment by the other. In the 'Gradual' mechanism, players may condition their incremental enhancements of their vulnerability on the other’s choices. In the 'Leap' mechanism, they unconditionally choose their vulnerability. In our experiment, subjects only learn to cooperate when either one of these mechanisms is allowed. In agreement with theory, subjects aiming for cooperation choose higher vulnerability levels in Gradual than in Leap, which maps into higher mutual cooperation levels. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-09826-02120170101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,25,"hongyuguan@outlook.com, 13813859970@126.com, pzhng@szu.edu.cn",Rule-inequality-aversion preference and conditional cooperation in public goods experiments: Economic experiment evidence from China,799 - 825,"rule preference, rule-inequality-aversion, public goods game, conditional cooperation, Aversion, Game Theory, Preferences, Cooperation, Economics",Group Decision and Negotiation,"0926-2644, 1572-9907","Guan, Hongyu and  Zhu, Xianchen and  Zhang, Ping","We provide an experimental investigation of the fair rule preference and its effect on anonymous cooperation, intending to test the hypothesis that people who exhibit high degrees of rule inequality aversion—consider 'equality and mutual obligation under the social contract' as justified, are disgusted with free-rider behavior in the public goods game and are more likely to be conditional cooperators and make conditional contributions. Based on experimental work related to rule-preferences Chlaß and Moffatt (Giving in dictator games: experimenter demand effect or preference over the rules of the game? (No. 2012, 044). Jena Economic Research Papers, 2012) and the public goods game Fischbacher et al. (Am Econ Rev 100(1):541–556, 2010), we designed a dictator game with the option of buying a veto (when the veto was purchased, the level of rule inequality decreased, making it an ultimatum game) to measure rule preference, i.e., rule inequality aversion, and conducted a two-stage public goods experiment to identify the cooperation preferences and repeated cooperation levels of participants. We investigated the relationship between rule preferences and cooperative preferences (conditional reciprocal preference) and tried to explain the adjustments people made when making repeated contributions of public goods (conditional cooperation behavior) from a rule preference perspective. The results show that: (1) Heterogeneous rule-inequality-aversion preferences are found in lab; (2) The stronger the rule-inequality-aversion preference is, the higher the probability is for the individual to become a conditional cooperator in public goods experiment; (3) Individuals who have stronger rule-inequality-aversion are more sensitive to the contributions that are deviated from the norm. Compared to the theory of conditional cooperation types, rule-inequality-aversion preference has a better explanation power when it comes to the behavior adjustment in repeated public goods contribution. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",article,2015-56574-00120160701,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,113,"angela.dorrough@fernuni-hagen.de, ORCID: 0000-0002-7766-4791",Multinational investigation of cross-societal cooperation,10836 - 10841,"social dilemmas, stereotypes, cooperation, prisoner’s dilemma, culture, Cooperation, Cross Cultural Differences, Multinational Corporations, Prisoners Dilemma Game, Stereotyped Behavior",PNAS Proceedings of the National Academy of Sciences of the United States of America,"0027-8424, 1091-6490","Dorrough, Angela Rachael and  Glöckner, Andreas","In a globalized world, establishing successful cooperation between people from different nations is becoming increasingly important. We present results from a comprehensive investigation of crosssocietal cooperation in one-shot prisoner’s dilemmas involving population-representative samples from six countries and identify crucial facilitators of and obstacles to cooperation. In interactions involving mutual knowledge about only the other players’ nationalities, we demonstrate that people hold strong and transnationally shared expectations (i.e., stereotypes) concerning the cooperation level of interaction partners from other countries. These expectations are the strongest determinants of participant cooperation. Paradoxically, however, they turn out to be incorrect stereotypes that even correlate negatively with reality. In addition to erroneous expectations, participants’ cooperation behavior is driven by (shared) social preferences that vary according to the interaction partner’s nationality. In the cross-societal context, these social preferences are influenced by differences in wealth and ingroup favoritism, as well as effects of specific country combinations but not by spatial distance between nations. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2016-47251-00420160927,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,80,"guilfoos@mail.uri.edu, apape@binghamton.edu",Predicting human cooperation in the Prisoner’s Dilemma using case-based decision theory,1 - 32,"Case-based decision theory, Prisoner’s Dilemma, Learning, Agent-based computational economics, Experimental economics, Cooperation, Decision Making, Group Dynamics, Prisoners Dilemma Game, Economics, Learning",Theory and Decision,"0040-5833, 1573-7187","Guilfoos, Todd and  Pape, Andreas Duus","In this paper, we show that Case-based decision theory, proposed by Gilboa and Schmeidler (Q J Econ 110(3):605–639, 1995), can explain the aggregate dynamics of cooperation in the repeated Prisoner’s Dilemma, as observed in the experiments performed by Camera and Casari (Am Econ Rev 99:979–1005, 2009). Moreover, we find CBDT provides a better fit to the dynamics of cooperation than does the existing Probit model, which is the first time such a result has been found. We also find that humans aspire to a payoff above the mutual defection outcome but below the mutual cooperation outcome, which suggests they hope, but are not confident, that cooperation can be achieved. Finally, our best-fitting parameters suggest that circumstances with more details are easier to recall. We make a prediction for future experiments: if the repeated PD were run for more periods, then we would be begin to see an increase in cooperation, most dramatically in the second treatment, where history is observed but identities are not. This is the first application of Case-based decision theory to a strategic context and the first empirical test of CBDT in such a context. It is also the first application of bootstrapped standard errors to an agent-based model. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",article,2015-17867-00120160101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,"akihironishi@ucla.edu, ORCID: 0000-0003-1629-5985","Cooperation, decision time, and culture: Online experiments with American and Indian participants",,"cooperation, decision making, time, cultural differences, Cooperative Behavior, Culture, Decision Making, Games, Experimental, Humans, India, Social Environment, Social Support, Social Welfare, Time Factors, United States, Cooperation, Cross Cultural Differences, Decision Making, Time",PLoS ONE,1932-6203,"Nishi, Akihiro and  Christakis, Nicholas A. and  Rand, David G.","Two separate bodies of work have examined whether culture affects cooperation in economic games and whether cooperative or non-cooperative decisions occur more quickly. Here, we connect this work by exploring the relationship between decision time and cooperation in American versus Indian subjects. We use a series of dynamic social network experiments in which subjects play a repeated public goods game: 80 sessions for a total of 1,462 subjects (1,059 from the United States, 337 from India, and 66 from other countries) making 13,560 decisions. In the first round, where subjects do not know if connecting neighbors are cooperative, American subjects are highly cooperative and decide faster when cooperating than when defecting, whereas a majority of Indian subjects defect and Indians decide faster when defecting than when cooperating. Almost the same is true in later rounds where neighbors were previously cooperative (a cooperative environment) except decision time among Indian subjects. However, when connecting neighbors were previously not cooperative (a non-cooperative environment), a large majority of both American and Indian subjects defect, and defection is faster than cooperation among both sets of subjects. Our results imply the cultural background of subjects in their real life affects the speed of cooperation decision-making differentially in online social environments. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-08997-00120170223,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,141,"robin.cubitt@nottingham.ac.uk, simon.gaechter@nottingham.ac.uk, simone.quercia@uni-bonn.de, ORCID: 0000-0002-4307-5219",Conditional cooperation and betrayal aversion,110 - 121,"Public goods game, Conditional cooperation, Trust, Betrayal aversion, Exploitation aversion, Free riding, Experiments, Cooperation, Trust (Social Behavior)",Journal of Economic Behavior & Organization,"0167-2681, 1879-1751","Cubitt, Robin and  Gächter, Simon and  Quercia, Simone","We investigate whether there is an association between conditional cooperation and betrayal aversion, two phenomena that we conjecture share common psychological characteristics despite having been studied largely separately in the previous literature. We use a public goods game to categorize subjects by type of contribution preference and we measure betrayal aversion for different categories of subject. We report three studies, using two different methods to measure betrayal aversion: a standard elicitation with monetary incentives and a novel scenario-based measure that we argue addresses concerns about the standard measure. We find strong and robust evidence of an association between conditional cooperation and betrayal aversion in the scenario-based measures but not in the standard measure. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-38501-00820170901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
